Area Code,Area Name,Area Type,Parent Name,Category,Category Type,Time period,Value,Count,Denominator,Time period range
E92000001,England,England,,,,2010,64.0978285239148,687007.0,10718101.0,1y
E92000001,England,England,,,,2011,64.15796,688118.0,10725373.0,1y
E92000001,England,England,,,,2012,64.71415,694242.0,10727823.0,1y
E92000001,England,England,,,,2013,61.83527,664517.0,10746569.0,1y
E92000001,England,England,,,,2014,61.45516,661501.0,10763962.0,1y
E92000001,England,England,,,,2015,61.56604,664399.0,10791647.0,1y
E92000001,England,England,,,,2016,61.24971,663155.0,10827071.0,1y
E92000001,England,England,,,,2017,59.73308,646794.0,10828070.0,1y
E92000001,England,England,,,,2018,57.59726,625651.0,10862513.0,1y
E92000001,England,England,,,,2019,55.91131,610505.0,10919169.0,1y
E92000001,England,England,,,,2020,53.52035,585195.0,10934065.0,1y
E92000001,England,England,,,,2021,54.1883,595948.0,10997725.0,1y
E92000001,England,England,,,,2022,51.71999,577046.0,11157117.0,1y
E92000001,England,England,,,,2023,49.40598,563561.0,11406736.0,1y
